POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
600-05160,-,0,Yellow,SS,N,N,SFMTA,ON,0,516,PACIFIC AVE,10123000,Area 2, ,"(37.79726, -122.40433)"
341-00240,-,0,Grey,SS,Y,N,SFMTA,ON,0,24,BRADY ST,3069000,Area 3, ,"(37.77292, -122.42053)"
568-43760,-,0,Grey,SS,N,N,SFMTA,ON,0,4376,MISSION ST,9158000,Area 3, ,"(37.7276, -122.43263)"
650-08050,-,0,Yellow,SS,N,N,SFMTA,ON,0,805,SACRAMENTO ST,11229000,Area 2, ,"(37.7933, -122.40639)"
680-14230,-,0,Grey,SS,N,N,SFMTA,ON,0,1423,TARAVAL ST,12400000,Area 3, ,"(37.7427, -122.48186)"
400-02180,-,0,Grey,SS,N,N,SFMTA,ON,0,218,EDDY ST,5060000,Area 2, ,"(37.78413, -122.4116)"
444-09270,-,0,Yellow,SS,N,N,SFMTA,ON,0,927,GRANT AVE,6396000,Area 2, ,"(37.79585, -122.40666)"
442-00170,-,0,Grey,SS,N,N,SFMTA,ON,0,17,GOLDEN GATE AVE,6259000,Area 2, ,"(37.78214, -122.41116)"
686-02440,-,0,Grey,SS,N,N,SFMTA,ON,0,244,TURK ST,12718000,Area 2, ,"(37.78288, -122.41385)"
336-08300,-,0,Grey,SS,N,N,SFMTA,ON,0,830,BUSH ST,3438000,Area 1, ,"(37.78989, -122.41143)"
338-05060,-,0,Grey,SS,N,N,SFMTA,ON,0,506,BOSWORTH ST,3026201,Area 3, ,"(37.73345, -122.43309)"
471-10500,-,0,Grey,SS,N,N,SFMTA,ON,0,1050,HARRISON ST,6726000,Area 3, ,"(37.7763, -122.40547)"
613-06680,-,0,Grey,SS,N,N,SFMTA,ON,0,668,PORTOLA DR,10615102,Area 3, ,"(37.74481, -122.45277)"
209-04390,-,0,Grey,SS,N,N,SFMTA,ON,0,439,09TH ST,458000,Area 3, ,"(37.77171, -122.40889)"
440-62010,-,0,Grey,SS,N,N,SFMTA,ON,0,6201,GEARY BLVD,6083101,Area 3, ,"(37.7799, -122.48593)"
209-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,09TH ST,446000,Area 2, ,"(37.77689, -122.41539)"
209-01220,-,0,Grey,SS,N,N,SFMTA,ON,0,122,09TH ST,449000,Area 2, ,"(37.77573, -122.41424)"
592-28080,-,0,Grey,SS,N,Y,SFMTA,ON,0,2808,OCTAVIA ST,9900000,Area 3, ,"(37.79825, -122.42891)"
568-45150,-,0,Grey,SS,N,N,SFMTA,ON,0,4515,MISSION ST,9161000,Area 3, ,"(37.72588, -122.43378)"
568-29120,-,0,Grey,SS,N,N,SFMTA,ON,0,2912,MISSION ST,9127000,Area 3, ,"(37.75019, -122.41834)"
357-06950,-,0,Grey,SS,N,N,SFMTA,ON,0,695,CHENERY ST,3926000,Area 3, ,"(37.73445, -122.43361)"
360-11210,-,0,Grey,SS,N,N,SFMTA,ON,0,1121,CLEMENT ST,4161000,Area 3, ,"(37.78256, -122.47133)"
650-36300,-,0,Grey,SS,N,N,SFMTA,ON,0,3630,SACRAMENTO ST,11268000,Area 3, ,"(37.78749, -122.4529)"
847-01370,-,0,Grey,SS,Y,Y,PORT,ON,0,137,JEFFERSON ST,7456000,Port 1, ,"(37.80829, -122.41477)"
363-03320,-,0,Grey,SS,N,N,SFMTA,ON,0,332,COLUMBUS AVE,4293000,Area 3, ,"(37.79856, -122.40752)"
404-00080,-,0,Grey,SS,N,N,SFMTA,ON,0,8,EXCELSIOR AVE,5359000,Area 3, ,"(37.72603, -122.43331)"
384-18150,-,0,Grey,SS,N,N,SFMTA,ON,0,1815,DIVISADERO ST,4815101,Area 3, ,"(37.78664, -122.44026)"
614-12130,-,0,Grey,SS,N,N,SFMTA,ON,0,1213,POST ST,10641000,Area 3, ,"(37.78646, -122.42225)"
593-08310,-,0,Grey,SS,N,N,SFMTA,ON,0,831,OFARRELL ST,9734000,Area 3, ,"(37.78495, -122.41915)"
680-08130,-,0,Green,SS,N,N,SFMTA,ON,0,813,TARAVAL ST,12394000,Area 3, ,"(37.74299, -122.47513)"
445-05290,445-05250,3,Grey,MS,N,N,SFMTA,ON,0,529,GREEN ST,6453000,Area 3, ,"(37.79952, -122.40851)"
418-09140,-,0,Grey,SS,N,N,SFMTA,ON,0,914,FOLSOM ST,5665000,Area 2, ,"(37.78001, -122.40386)"
360-02090,-,0,Grey,SS,N,Y,SFMTA,ON,0,209,CLEMENT ST,4152000,Area 3, ,"(37.78301, -122.46153)"
127-05050,-,0,Grey,SS,N,N,SFMTA,ON,0,505,27TH AVE,1547000,Area 3, ,"(37.77967, -122.48692)"
355-02300,-,0,Grey,SS,N,N,SFMTA,ON,0,230,CHURCH ST,4010000,Area 3, ,"(37.76649, -122.42896)"
440-41040,-,0,Grey,SS,N,Y,SFMTA,ON,0,4104,GEARY BLVD,6061201,Area 3, ,"(37.78119, -122.46347)"
330-09290,-,0,Grey,SS,N,N,SFMTA,ON,0,929,BRANNAN ST,3089000,Area 3, ,"(37.77068, -122.40605)"
600-04260,-,0,Grey,SS,N,N,SFMTA,ON,0,426,PACIFIC AVE,10121000,Area 2, ,"(37.79741, -122.40309)"
575-04200,-,0,Grey,SS,N,N,SFMTA,ON,0,420,MAPLE ST,8682000,Area 3, ,"(37.78679, -122.45526)"
472-08230,-,0,Grey,SS,N,N,SFMTA,ON,0,823,HYDE ST,7123000,Area 3, ,"(37.78878, -122.41703)"
440-55080,-,0,Grey,SS,N,N,SFMTA,ON,0,5508,GEARY BLVD,6076201,Area 3, ,"(37.7805, -122.47869)"
440-56200,-,0,Green,SS,N,N,SFMTA,ON,0,5620,GEARY BLVD,6077201,Area 3, ,"(37.78044, -122.48008)"
664-16190,-,0,Grey,SS,N,N,SFMTA,ON,0,1619,STOCKTON ST,12214000,Area 3, ,"(37.80097, -122.40936)"
568-37320,-,0,Grey,SS,N,N,SFMTA,ON,0,3732,MISSION ST,9145000,Area 3, ,"(37.73638, -122.42445)"
401-07230,-,0,Grey,SS,N,N,SFMTA,ON,0,723,ELLIS ST,5178000,Area 3, ,"(37.78408, -122.41856)"
472-03170,-,0,Grey,SS,N,N,SFMTA,ON,0,317,HYDE ST,7117000,Area 3, ,"(37.78399, -122.41605)"
203-46060,-,0,Grey,SS,N,N,SFMTA,ON,0,4606,03RD ST,210201,Area 3, ,"(37.73619, -122.39035)"
650-33370,-,0,Grey,SS,N,N,SFMTA,ON,0,3337,SACRAMENTO ST,11265000,Area 3, ,"(37.78795, -122.44845)"
657-25240,-,0,Red,SS,N,N,SFMTA,ON,0,2524,SAN BRUNO AVE,11376000,Area 3, ,"(37.7294, -122.4044)"
327-01200,-,0,Grey,SS,N,N,SFMTA,ON,0,120,BROADWAY,3144000,Area 3, ,"(37.79871, -122.40068)"
440-40020,-,0,Grey,SS,N,Y,SFMTA,ON,0,4002,GEARY BLVD,6060201,Area 3, ,"(37.78124, -122.46234)"
568-09130,-,0,Yellow,SS,N,N,SFMTA,ON,0,913,MISSION ST,9097000,Area 2, ,"(37.78236, -122.40681)"
