Stop_ID,Latitude,Longitude
390,37.7215109,122.4750121
660,37.72418588,122.435179
913,37.7197628,122.4267485
3003,37.78183123,122.3920337
3004,37.78196415,122.3922249
3008,37.78539718,122.3965734
3009,37.78452877,122.3953509
3010,37.78412093,122.3949348
3011,37.78657788,122.3980161
3012,37.78892616,122.4010512
3013,37.78867553,122.4007439
3015,37.78068245,122.3907602
3016,37.77254,122.3897767
3018,37.72777813,122.4032913
3019,37.72771244,122.4032605
3020,37.72664538,122.4074943
3021,37.72658337,122.4076512
3023,37.79017836,122.4822516
3024,37.797481,122.445868
3025,37.79837,122.4010291
3026,37.80206846,122.4018092
3029,37.80067077,122.4014808
3030,37.79687545,122.4006802
3031,37.80615972,122.4092044
3032,37.7773944,122.4617415
3033,37.77729106,122.4619691
3034,37.77729063,122.4642041
3035,37.77720081,122.4637122
3036,37.77719218,122.4660464
3037,37.77711756,122.4662424
3038,37.77709363,122.4681426
3039,37.7770168,122.4684402
3040,37.77699911,122.4702949
3041,37.77692189,122.4705107
3043,37.77674385,122.4757724
3044,37.77666897,122.4760717
3045,37.77666582,122.4778673
3046,37.77655672,122.4782087
3047,37.77655352,122.4800348
3048,37.77647853,122.4803369
3049,37.77645664,122.4821922
3050,37.77638284,122.4824353
3051,37.77635926,122.4847025
3052,37.77627793,122.4842325
3053,37.77625041,122.4875747
3054,37.77614009,122.4878084
3055,37.77614398,122.4900269
3056,37.77604121,122.4899712
3057,37.77606919,122.491906
3058,37.77594043,122.4921272
3059,37.77586875,122.4942538
3060,37.7758698,122.4946146
3061,37.77574015,122.4971812
3062,37.77570839,122.4974729
3063,37.77562792,122.5004248
3064,37.77556146,122.5006787
3065,37.77545342,122.5036498
3066,37.77541177,122.5038861
3067,37.77746825,122.45887
3070,37.77693066,122.4723883
3071,37.77680198,122.4723644
3072,37.80150818,122.4448578
3074,37.80336116,122.4452311
3075,37.8006133,122.4443838
3076,37.80426835,122.4453554
3077,37.80244934,122.4450567
3082,37.79792625,122.4062185
3084,37.79816274,122.4039354
3085,37.79421562,122.4363855
3086,37.79415429,122.436336
3087,37.79768352,122.4082758
3088,37.79009308,122.3939623
3089,37.79179739,122.3970785
3090,37.80364913,122.4437422
3093,37.80629403,122.4231608
3094,37.80211087,122.44195
3096,37.736805,122.4311683
3103,37.76078857,122.3885143
3104,37.76057154,122.3889585
3107,37.755686,122.388132
3108,37.75510769,122.3884008
3113,37.73212833,122.3917275
3114,37.77936362,122.3934108
3115,37.725795,122.394231
3116,37.72522923,122.3942931
3123,37.74266615,122.3885385
3124,37.78407983,122.3991932
3127,37.74010371,122.3887043
3128,37.78488981,122.400287
3129,37.73918912,122.3892407
3134,37.73735394,122.3897379
3135,37.73776419,122.389669
3136,37.78657284,122.4025179
3137,37.78763065,122.4034691
3141,37.7344126,122.3907545
3143,37.73460075,122.3907854
3144,37.78220176,122.3968691
3145,37.73227214,122.39153
3146,37.72079833,122.39653
3149,37.72914,122.3926121
3150,37.729228,122.392775
3153,37.77292214,122.389575
3156,37.77825055,122.3964917
3161,37.78521267,122.4066747
3163,37.77727497,122.3953287
3164,37.77696444,122.3944578
3165,37.77692292,122.3945504
3166,37.77651612,122.3986071
3168,37.78008744,122.4032722
3169,37.77931804,122.4020869
3170,37.78141127,122.4047911
3171,37.78125036,122.4047359
3172,37.78291814,122.4066924
3173,37.78290628,122.4067478
3174,37.77558821,122.3971731
3177,37.77708194,122.4639827
3178,37.77695569,122.4640747
3181,37.78311449,122.4644965
3182,37.784619,122.464476
